task	pdfs	pages	sheets	callouts	details	error
intradrawing/sheet-index-consistency/bidset-stadium	1	40	40	19	408	
intradrawing/sheet-index-consistency/broughton-meadow-habitat	1	8	0	0	31	
intradrawing/sheet-index-consistency/darrington-library	1	40	21	30	137	
intradrawing/sheet-index-consistency/gfiaa-expansion	1	68	32	49	541	
intradrawing/sheet-index-consistency/h59-chiller-replacement	1	11	8	0	24	
intradrawing/sheet-index-consistency/kenai-rec-center	1	22	14	0	68	
intradrawing/sheet-index-consistency/mechanical-set-2022	1	5	0	0	0	
intradrawing/sheet-index-consistency/rces-modular-bid	1	14	14	1	23	
intradrawing/sheet-index-consistency/reid-hall-permit-bid	1	20	20	3	191	
intradrawing/sheet-index-consistency/saluda-hall-generator	1	6	3	0	8	
intradrawing/sheet-index-consistency/sta-cooling-tower	1	14	14	7	55	
intraproject/drawing-navigation/easy-darrington-sections	89	5072	1345	1240	12618	
intraproject/drawing-navigation/easy-holabird-gym-sound	89	5072	1345	1240	12618	
intraproject/drawing-navigation/easy-lcad-saferoom	89	5072	1345	1240	12618	
intraproject/drawing-navigation/easy-progress-carwash	89	5072	1345	1240	12618	
intraproject/drawing-navigation/hard-mech-drawings-riser	89	5072	1345	1240	12618	
intraproject/drawing-navigation/hard-progress-borehole	89	5072	1345	1240	12618	
intraproject/drawing-navigation/hard-trinity-kitchens	89	5072	1345	1240	12618	
intraproject/drawing-navigation/hard-wenatchee-acoustic	89	5072	1345	1240	12618	
intraproject/drawing-navigation/medium-03addendum-stair	89	5072	1345	1240	12618	
intraproject/drawing-navigation/medium-holabird-intercom	89	5072	1345	1240	12618	
intraproject/drawing-navigation/medium-progress-radiant	89	5072	1345	1240	12618	
intraproject/drawing-navigation/medium-wenatchee-vrf	89	5072	1345	1240	12618	
intraproject/spec-drawing-sync/nmacon-gypsum-board-easy	2	851	24	47	161	
intraproject/spec-drawing-sync/nmacon-hollow-metal-doors-medium	2	851	24	47	161	
intraproject/spec-drawing-sync/nmacon-panelboards-clean	2	851	24	47	161	
intraproject/spec-drawing-sync/nmacon-standing-seam-roof-hard	2	851	24	47	161	
intraproject/spec-drawing-sync/rees-gypsum-board-easy	2	1003	32	71	191	
intraproject/spec-drawing-sync/rees-hollow-metal-doors-medium	2	1003	32	71	191	
intraproject/spec-drawing-sync/rees-metal-roof-panels-hard	2	1003	32	71	191	
intraproject/spec-drawing-sync/rees-panelboards-clean	2	1003	32	71	191	
intraproject/spec-drawing-sync/uccs-gypsum-board-easy	2	1169	45	139	367	
intraproject/spec-drawing-sync/uccs-hollow-metal-doors-hard	2	1169	45	139	367	
intraproject/spec-drawing-sync/uccs-metal-ducts-clean	2	1169	45	139	367	
intraproject/spec-drawing-sync/uccs-panelboards-medium	2	1169	45	139	367	
intraproject/spec-drawing-sync/wcu-gypsum-board-clean	2	641	60	32	160	
intraproject/spec-drawing-sync/wcu-hollow-metal-doors-easy	2	641	60	32	160	
intraproject/spec-drawing-sync/wcu-storefronts-hard	2	641	60	32	160	
intraproject/spec-drawing-sync/wcu-unit-masonry-medium	2	641	60	32	160	
intraproject/submittal-review/easy-approved-accessories	3	1005	32	71	191	
intraproject/submittal-review/easy-approved-casework	3	702	25	14	104	
intraproject/submittal-review/easy-approved-painting	3	1171	45	139	371	
intraproject/submittal-review/easy-equal-accessories	3	1005	33	71	203	
intraproject/submittal-review/easy-equal-casework	3	701	25	14	102	
intraproject/submittal-review/easy-equal-painting	3	1171	45	139	367	
intraproject/submittal-review/easy-rejected-accessories	3	1004	32	71	191	
